,lat,lon,temp,hum,cloud,wind,city
4,-4,-45,300.13,98,88,2.01,Vitorino Freire
5,-27,-53,297.15,78,40,7.7,Águas de Chapecó
18,65,-37,267.15,79,88,3.1,Kap Dan
20,67,-112,246.53,68,20,1.61,Lupin
25,28,119,286.43,92,12,0.71,Badu
26,-14,-61,298.38,90,92,1.31,Nova Alvorada
33,56,63,270.33,89,80,5.06,Dalmatovo
34,-6,-52,302.58,74,32,1.31,Sao Felix do Xingu
35,-15,42,301.58,100,88,3.26,Ilha de Mocambique
36,-23,166,298.68,97,68,9.86,Noumea
37,-39,-74,287.23,100,0,9.96,Puerto Saavedra
41,48,-1,282.15,93,88,3.6,Le Pertre
45,44,-82,272.15,46,12,4.1,Ripley
55,-24,20,300.13,52,64,2.81,Aranos
56,31,15,296.98,31,0,6.06,Sha‘bīyat Mişrātah
59,-15,-58,299.98,85,92,1.66,Ildefonso
62,-6,134,299.48,100,88,2.86,Tual
67,15,145,300.88,99,36,10.71,Tinian Municipality
68,-23,-60,301.43,100,0,1.31,Colonia Neuland
69,68,-52,270.73,98,44,1.56,Kangaatsiaq
71,57,99,267.18,61,76,4.31,Novobiryusinskiy
79,34,37,294.23,24,0,1.31,Dayr Atiyah
82,9,-67,302.48,56,76,4.46,Palmasola
83,31,17,291.43,78,0,6.91,Surt
85,36,39,297.63,22,76,2.66,Muḩāfaz̧at ar Raqqah
86,0,-50,300.68,97,88,2.11,Tucuma
89,-19,26,299.78,54,0,3.16,Pandamatenga
90,28,53,297.15,25,24,5.1,Chāh Gachī
93,35,77,258.13,85,8,0.41,Thang
102,1,-79,297.13,100,92,2.36,Valdez
106,67,-87,252.15,76,90,14.4,Repulse Bay
109,6,96,302.18,100,56,6.01,Sigli
113,18,75,301.63,33,68,1.66,Kalas
117,67,80,253.98,73,48,7.66,Tazovskiy
122,59,33,275.98,82,64,4.81,Nebolchi
125,-15,-56,302.88,82,12,3.26,Acorizal
134,70,-148,259.15,84,90,11.8,Prudhoe Bay
135,23,-85,298.33,100,0,6.56,Mantua
138,47,106,270.68,62,92,6.26,Bayanbaraat
149,44,30,283.78,85,68,7.36,Eforie Sud
150,35,-90,286.7,72,90,2.6,Southaven
151,-1,42,302.28,79,0,6.56,Buur Gaabo
159,43,61,278.28,68,0,4.76,Taxtakopir
163,54,-72,256.43,93,80,5.31,La Grande IV
169,40,60,281.58,55,0,3.91,Turkmenistan
192,43,7,290.47,29,0,2.1,Ramatuelle
194,29,115,289.78,97,68,0.86,Luoxi
195,31,-99,294.69,68,20,4.1,San Saba
196,48,150,269.98,100,32,5.46,Vostok
197,16,49,305.08,13,44,2.86,Muḩāfaz̧at Ḩaḑramawt
198,22,-158,292.84,100,1,4.31,Kahuku
203,40,-7,287.28,64,88,4.16,Penha Garcia
209,63,144,252.23,76,0,1.81,Oymyakon
216,43,-119,277.15,75,1,1.5,Hines
229,39,104,283.38,20,0,2.01,Zhoujiajing
231,38,-6,295.15,37,0,2.6,Puebla del Maestre
233,43,25,284.15,87,76,1,Republic of Bulgaria
235,43,78,271.98,96,92,0.91,Tyup
238,68,-91,251.63,87,68,5.36,Kugaaruk
243,-5,16,299.93,88,24,0.96,Ville de Kinshasa
244,65,17,274.15,31,32,1.5,Storuman
251,54,49,274.15,94,90,3,Sengiley
255,10,80,302.58,100,12,5.66,Valvedditturai
256,57,-151,277.08,100,0,1.76,Kodiak
261,76,-72,262.78,100,80,6.26,Dundas
262,45,63,276.63,70,0,4.71,Baykonyr
265,71,-56,268.98,95,32,3.61,Qaarsut
273,46,143,273.63,91,0,2.51,Korsakov
277,65,-93,248.03,81,44,4.86,Wager Bay
281,17,122,294.93,95,92,1.56,Province of Isabela
283,45,-122,279.65,81,90,3.1,Clackamas County
286,-1,-81,302.15,70,40,2.6,Tarqui
287,23,-75,296.98,100,24,6.51,Clarence Town
293,55,93,265.13,70,76,3.56,Berëzovaya
294,-10,-45,306.88,40,8,3.31,Gilbues
296,62,178,274.43,95,0,7.26,Beringovskiy
305,66,-174,273.58,98,88,1.31,Lorino
306,-23,-135,298.38,100,44,3.76,Rikitea
307,60,37,273.28,89,32,2.76,Zubovo
309,7,-71,305.15,46,40,3.1,Arauca
317,51,-115,262.21,92,90,1,Seebe
325,14,28,307.18,13,0,4.31,Umm Kaddadah
329,44,-103,267.36,62,75,6.7,Rapid Valley
335,-2,106,300.78,100,8,3.26,Selindung
343,16,-95,299.28,93,0,10.51,San Mateo del Mar
348,7,79,302.28,100,0,3.31,Colombo
352,33,-94,292.9,77,75,5.1,Vivian
353,-10,33,296.68,79,48,2.16,Isoka
356,44,9,287.12,62,0,2.6,Portofino
357,-1,133,288.78,93,12,1.06,Saowi
359,38,101,265.28,72,0,1.71,Hongtu
362,50,93,267.63,70,80,2.96,Tsalgar
366,36,-105,282.66,42,1,7.7,Mora
369,0,107,301.68,99,0,4.71,Provinsi Kepulauan Riau
370,59,3,277.33,100,0,3.86,Utsira
383,70,-151,258.28,92,90,10.3,Nuiqsut
385,-22,47,296.73,61,76,1.06,Ambalavao
387,45,94,276.03,38,44,5.91,Bayangol
388,63,-84,250.13,100,0,1.21,Coral Harbour
390,58,-114,258.68,72,0,1.01,Fort Vermilion
395,31,68,291.18,23,92,1.86,Khadan Khak
398,6,126,299.98,100,32,3.01,Lamitan
399,59,-103,245.78,72,8,3.56,Brochet
400,-17,40,302.18,100,0,2.96,Antonio Enes
404,26,73,302.63,17,0,3.71,Ratanada
412,38,102,269.93,64,0,1.61,Gansu Sheng
413,34,-4,296.88,43,20,0.91,Ras el Oued
414,13,-59,302.15,70,40,6.7,Sandford
415,61,134,267.38,67,88,4.46,Ust-Maya
418,56,-162,273.15,100,1,4.06,Nelson Lagoon
421,58,-112,259.68,66,0,2.11,Kenny Woods
422,61,-152,264.15,85,1,1.5,Nikiski
427,76,-118,251.53,92,76,3.76,Mould Bay
432,19,79,297.28,74,0,2.96,Jagtial
436,55,96,266.13,44,48,3.86,Aginskoye
438,-35,-72,289.98,95,0,0.71,Curepto
441,-36,172,292.13,100,0,1.61,Ahipara
449,36,10,296.15,16,0,2.1,Sbikha
460,-14,-63,298.13,100,88,1.31,Posto Fiscal Rolim de Moura
467,43,94,272.63,90,92,0.86,Huangtian Nongchang
469,18,43,295.64,27,20,4.1,Birzayn
471,-9,147,297.15,100,5,2.1,National Capital District
483,44,13,288.82,51,40,2.1,Pesaro
485,30,90,262.18,79,8,2.51,Lhainag
488,52,-5,281.15,98,88,5.7,Goodwick
492,61,97,258.63,47,48,4.36,Baykit
496,18,47,306.15,26,5,5.1,Sharūrah
498,36,100,271.13,69,0,1.41,Heka
505,61,65,269.08,76,76,3.86,Zelenoborsk
506,62,61,270.98,66,68,2.76,Khulimsunt
507,-34,27,297.63,100,64,8.61,Port Alfred
514,29,52,293.78,16,32,2.06,Ostān-e Būshehr
529,30,32,298.15,38,0,7.2,Muḩāfaz̧at al Qāhirah
544,68,24,272.15,68,75,1.5,Muonio
547,5,6,299.53,100,44,0.11,Amassoma
550,34,-5,296.97,44,40,3.1,Fes
551,58,78,260.48,64,0,1.91,Kedrovyy
562,64,177,269.18,81,88,1.46,Anadyr
567,50,-60,270.23,100,12,3.91,Tête-à-la-Baleine
570,60,-44,273.38,96,92,11.56,Nanortalik
571,30,89,258.03,71,0,1.16,Asia
578,-17,45,303.78,48,92,0.76,Besalampy
580,0,0,301.38,100,64,1.71,Earth
586,29,53,289.73,19,20,0.91,Ostān-e Fārs
591,29,64,295.58,17,8,2.06,Dalbandin
594,-4,22,303.53,72,0,1.61,Province du Kasaï-Occidental
600,38,57,281.15,75,90,2.1,Ostān-e Khorāsān-e Shomālī
602,64,-127,247.93,36,0,0.91,Tulita
606,51,103,257.93,71,76,1.16,Bayangol
609,43,11,289.08,39,0,3.1,Prata
624,36,-87,288.34,82,75,2.6,Fairview
631,-17,23,300.93,60,0,4.31,Senanga
635,23,24,304.98,9,0,3.56,Al Kufrah
638,56,100,265.98,53,44,3.76,Chunskiy
641,-6,154,302.68,100,12,7.31,Bougainville
652,62,-117,253.53,75,0,1.56,FortProvidence
654,38,126,280.93,93,92,3.06,Yonan-up
658,60,160,273.88,87,64,11.76,Palana
659,35,-76,292.15,59,1,3.6,Buxton
665,6,-73,287.63,95,92,1.21,Cerinza
669,-18,-62,303.03,70,80,2.96,Departamento de Santa Cruz
674,37,111,283.63,47,0,3.46,Lingquan
679,23,77,303.15,23,0,2.6,Ichhawar
682,54,34,277.13,95,48,7.36,Betlitsa
683,66,60,268.13,89,88,1.96,Inta
684,40,2,287.48,100,20,5.06,Estellencs
687,-23,113,300.98,98,0,6.36,Learmonth
711,74,-56,263.73,69,8,2.21,Upernavik
712,-21,142,299.33,56,36,4.76,Julia Creek
713,53,63,271.15,74,0,7,Rudnyy
730,50,-121,275.46,72,75,5.7,Coyle
731,64,15,271.78,70,8,1.71,Stroemsund
733,60,70,266.23,72,80,4.11,Gornopravdinsk
734,44,-77,273.65,100,75,5.1,Bongard
746,3,-50,298.68,100,80,3.66,Maracá
750,29,-5,304.53,12,8,6.01,Mhamid
751,61,89,262.23,55,48,4.11,Osinovo
758,-4,38,299.08,62,64,1.96,Kisiwani
760,-20,146,298.33,75,48,5.46,Charters Towers
761,29,59,301.73,19,8,4.06,Akbarābād
762,62,3,276.48,100,12,0.71,Maloy
763,52,18,278.28,97,88,11.01,Grodziec
770,50,116,270.18,31,56,11.51,Ereencav
778,8,-2,305.53,77,24,2.66,Republic of Ghana
783,40,-82,278.9,48,1,3.6,North Zanesville
784,7,143,302.58,96,76,6.71,Eauripik Municipality
